astar_time,astar_position,astar_velocity,astar_acceleration
0,0,0.5,0
2,1,1.5,1
2.66667,2,2.5,2
3.06667,3,3.5,3
3.35238,4,3.5,0
3.6381,5,3.5,0
3.92381,6,4.5,4
4.14603,7,4.5,0
4.36825,8,4.5,0
4.59048,9,4.5,0
4.8127,10,4.5,0
5.03492,11,5.5,5
5.21674,12,5.5,0
5.39856,13,5.5,0
5.58038,14,5.5,0
5.76219,15,5.5,0
5.94401,16,6.5,6
6.09786,17,6.5,0
6.2517,18,6.5,0
6.40555,19,6.5,0
6.5594,20,6.5,0
6.71324,21,6.5,0
6.86709,22,7.5,7
7.00042,23,7.5,0
7.13376,24,7.5,0
7.26709,25,7.5,0
7.40042,26,7.5,0
7.53376,27,7.5,0
7.66709,28,7.5,0
7.80042,29,7.5,0
7.93376,30,8.5,8
8.0514,31,8.5,0
8.16905,32,8.5,0
8.2867,33,8.5,0
8.40434,34,8.5,0
8.52199,35,8.5,0
8.63964,36,8.5,0
8.75728,37,8.5,0
8.87493,38,9.5,9
8.98019,39,9.5,0
9.08546,40,9.5,0
9.19072,41,9.5,0
9.29598,42,9.5,0
9.40125,43,9.5,0
9.50651,44,9.5,0
9.61177,45,9.5,0
9.71704,46,9.5,0
9.8223,47,9.5,0
9.92756,48,10.5,10
10.0228,49,10.5,0
10.118,50,10.5,0
10.2133,51,10.5,0
10.3085,52,10.5,0
10.4038,53,10.5,0
10.499,54,10.5,0
